tomatoes,meat,eggs,milk,total,time_seconds,entry_timestamp,save_timestamp
1,0,1,0,2,133.0,2025-03-22 23:38:49,2025-03-22 23:41:02
1,0,1,0,2,138.1,2025-03-22 23:38:49,2025-03-22 23:41:07
1,0,0,0,1,27.1,2025-03-23 19:44:29,2025-03-23 19:44:56
1,0,0,0,1,30.4,2025-03-23 19:44:29,2025-03-23 19:45:00
1,1,0,1,3,13.2,2025-03-23 19:49:21,2025-03-23 19:49:35
0,0,0,1,1,22.6,2025-03-23 19:56:39,2025-03-23 19:57:02
1,0,0,1,2,76.4,2025-03-24 11:40:52,2025-03-24 11:42:08
1,1,0,1,3,77.1,2025-03-26 16:40:51,2025-03-26 16:42:08
1,0,1,1,3,50.0,2025-03-26 17:00:53,2025-03-26 17:01:43
1,1,1,1,4,24.0,2025-03-26 17:37:46,2025-03-26 17:38:10
1,1,0,0,2,60.9,2025-03-28 16:02:31,2025-03-28 16:03:32
1,1,0,0,2,75.2,2025-03-28 16:02:31,2025-03-28 16:03:46
1,1,1,1,4,23.7,2025-03-28 16:11:56,2025-03-28 16:12:19
